data_source_id,procedure_code_id_source,procedure_code_category_id_reference
1,1002592|~|2,1
1,1000995|~|2,1
1,1004796|~|2,1
1,1000005|~|2,1
1,1000007|~|2,1
1,1000124|~|2,1
1,1000129|~|2,1
1,1000132|~|2,1
1,1000133|~|2,1
1,1001009|~|2,1
1,1000184|~|2,1
1,750|~|2,1
1,1000662|~|2,1
1,1002938|~|2,1
1,1003100|~|2,1
1,594|~|2,1
1,50|~|2,1
1,1004975|~|2,1
1,1004976|~|2,1
1,1002964|~|2,5
1,1002965|~|2,1
1,1003069|~|2,5
1,1002920|~|2,1
1,1003101|~|2,1
1,773|~|2,1
1,534|~|2,1
1,536|~|2,1
1,537|~|2,1
1,1001576|~|2,1
1,1007|~|2,1
1,1004977|~|2,1
1,1004865|~|2,1
1,1004978|~|2,1
1,1002940|~|2,1
1,1001578|~|2,1
1,1001579|~|2,1
1,1001580|~|2,1
1,1001581|~|2,1
1,1001582|~|2,1
1,1001583|~|2,1
1,1001584|~|2,1
1,1001585|~|2,1
1,1001586|~|2,1
1,1002177|~|2,1
1,1002936|~|2,1
1,1127|~|2,1
1,1128|~|2,1
1,1129|~|2,1
1,1002941|~|2,1
1,1004964|~|2,1
1,1004966|~|2,1
1,1004968|~|2,1
1,1004980|~|2,1
1,1004982|~|2,1
1,1004984|~|2,1
1,1004986|~|2,1
1,643|~|2,1
1,51|~|2,1
1,1001018|~|2,1
1,1002916|~|2,1
1,1002918|~|2,1
1,1004793|~|2,1
1,1002976|~|2,1
1,1002942|~|2,1
1,1003105|~|2,1
1,922|~|2,1
1,1006143|~|2,1
1,1003590|~|2,1
1,1003591|~|2,1
1,1004988|~|2,1
1,1004990|~|2,1
1,758|~|2,1
1,759|~|2,1
1,1002945|~|2,1
1,1003106|~|2,1
1,1002906|~|2,1
1,1004870|~|2,1
1,5|~|2,1
1,1000299|~|2,1
1,1002208|~|2,1
1,1004103|~|2,1
1,1004792|~|2,1
1,1001019|~|2,1
1,1002817|~|2,1
1,1002197|~|2,1
1,1003592|~|2,1
1,1003593|~|2,1
1,6|~|2,1
1,1000300|~|2,1
1,1001020|~|2,1
1,1003594|~|2,1
1,785|~|2,1
1,1002946|~|2,1
1,1003107|~|2,1
1,1002408|~|2,1
1,7|~|2,1
1,1002594|~|2,1
1,1002409|~|2,1
1,52|~|2,1
1,1002595|~|2,1
1,1000632|~|2,1
1,53|~|2,1
1,1002596|~|2,1
1,1002818|~|2,1
1,8|~|2,1
1,1002597|~|2,1
1,1000634|~|2,1
1,308|~|2,1
1,1000310|~|2,1
1,1004425|~|2,1
1,1004105|~|2,1
1,1000635|~|2,1
1,1004791|~|2,1
1,1002562|~|2,1
1,321|~|2,1
1,1003986|~|2,1
1,1003987|~|2,1
1,1000636|~|2,1
1,1003043|~|2,1
1,1003596|~|2,1
1,1006142|~|2,1
1,1002950|~|2,1
1,1003098|~|2,1
1,54|~|2,1
1,470|~|2,1
1,55|~|2,1
1,1003935|~|2,1
1,1000639|~|2,1
1,1002600|~|2,1
1,582|~|2,1
1,56|~|2,1
1,1003856|~|2,1
1,1003936|~|2,1
1,1000641|~|2,1
1,1002819|~|2,1
1,1000164|~|2,1
1,1003943|~|2,1
1,1000204|~|2,1
1,1000643|~|2,1
1,735|~|2,1
1,1004406|~|2,1
1,1004790|~|2,1
1,1000644|~|2,1
1,1001588|~|2,1
1,1002954|~|2,1
1,1003120|~|2,1
1,1002971|~|2,1
1,1003121|~|2,1
1,1003598|~|2,1
1,57|~|2,1
1,1003857|~|2,1
1,1000645|~|2,1
1,1002820|~|2,1
1,58|~|2,1
1,1003858|~|2,1
1,1000268|~|2,1
1,1004070|~|2,1
1,1000269|~|2,1
1,1004071|~|2,1
1,59|~|2,1
1,1003859|~|2,1
1,60|~|2,1
1,1003860|~|2,1
1,1000271|~|2,1
1,1000270|~|2,1
1,1003599|~|2,1
1,61|~|2,1
1,1003861|~|2,1
1,1000344|~|2,1
1,1000345|~|2,1
1,1000346|~|2,1
1,337|~|2,1
1,1000347|~|2,1
1,1000348|~|2,1
1,1000349|~|2,1
1,1003600|~|2,1
1,774|~|2,1
1,1004789|~|2,1
1,1002972|~|2,1
1,1004788|~|2,1
1,1004787|~|2,1
1,1004786|~|2,1
1,1004785|~|2,1
1,1004784|~|2,1
1,1004782|~|2,1
1,1004781|~|2,1
1,1004780|~|2,1
1,1004779|~|2,1
1,1004778|~|2,1
1,1004777|~|2,1
1,1004776|~|2,1
1,1002230|~|2,1
1,1004775|~|2,1
1,1004774|~|2,1
1,1004773|~|2,1
1,1004772|~|2,1
1,1004771|~|2,1
1,1004770|~|2,1
1,1003601|~|2,1
1,769|~|2,1
1,1004360|~|2,1
1,1000658|~|2,1
1,1004769|~|2,1
1,1004768|~|2,1
1,1003021|~|2,1
1,1001608|~|2,1
1,1003017|~|2,1
1,1003016|~|2,1
1,1002410|~|2,1
1,1002967|~|2,1
1,1002411|~|2,1
1,1004995|~|2,1
1,1002955|~|2,1
1,1000202|~|2,1
1,1003063|~|2,1
1,1003053|~|2,1
1,1003122|~|2,1
1,1000200|~|2,1
1,1001021|~|2,1
1,588|~|2,1
1,597|~|2,1
1,13|~|2,1
1,1003863|~|2,1
1,14|~|2,1
1,1003864|~|2,1
1,1002822|~|2,1
1,15|~|2,1
1,1003865|~|2,1
1,16|~|2,1
1,1003866|~|2,1
1,1002412|~|2,1
1,1003602|~|2,1
1,1003603|~|2,1
1,1002413|~|2,1
1,1002414|~|2,1
1,1002415|~|2,1
1,1002416|~|2,1
1,1002948|~|2,1
1,339|~|2,1
1,1003606|~|2,1
1,1003608|~|2,1
1,1004997|~|2,1
1,1003609|~|2,1
1,1003610|~|2,1
1,1003611|~|2,1
1,1002973|~|2,1
1,1002417|~|2,1
1,1002418|~|2,1
1,113|~|2,1
1,1003867|~|2,1
1,1001027|~|2,1
1,114|~|2,1
1,1003868|~|2,1
1,1001028|~|2,1
1,115|~|2,1
1,1003869|~|2,1
1,1001029|~|2,1
1,1003612|~|2,1
1,1002419|~|2,1
1,116|~|2,1
1,1003870|~|2,1
1,1004767|~|2,1
1,1001030|~|2,1
1,642|~|2,1
1,1106|~|2,1
1,1002420|~|2,1
1,1110|~|2,1
1,1002421|~|2,1
1,1002422|~|2,1
1,1002423|~|2,1
1,1003614|~|2,1
1,1000203|~|2,1
1,1000201|~|2,1
1,1001032|~|2,1
1,1000199|~|2,1
1,1001033|~|2,1
1,698|~|2,1
1,1002181|~|2,1
1,701|~|2,1
1,1002182|~|2,1
1,1099|~|2,1
1,704|~|2,1
1,702|~|2,1
1,1004766|~|2,1
1,1002905|~|2,1
1,1003095|~|2,1
1,1000009|~|2,1
1,1003871|~|2,1
1,1001034|~|2,1
1,1000010|~|2,1
1,1003872|~|2,1
1,1000486|~|2,1
1,1001035|~|2,1
1,1004876|~|2,1
1,1004999|~|2,1
1,1000011|~|2,1
1,1003873|~|2,1
1,1000487|~|2,1
1,1001036|~|2,1
1,1004879|~|2,1
1,1004981|~|2,1
1,1005001|~|2,1
1,1000012|~|2,1
1,1003976|~|2,1
1,1000488|~|2,1
1,1001037|~|2,1
1,1004882|~|2,1
1,1004983|~|2,1
1,1005003|~|2,1
1,1000013|~|2,1
1,1003980|~|2,1
1,1000489|~|2,1
1,1001038|~|2,1
1,1004885|~|2,1
1,1005004|~|2,1
1,1003034|~|2,1
1,117|~|2,1
1,118|~|2,1
1,119|~|2,1
1,1003052|~|2,1
1,1006092|~|2,1
1,120|~|2,1
1,121|~|2,1
1,122|~|2,1
1,1003618|~|2,1
1,551|~|2,1
1,1002424|~|2,1
1,1001045|~|2,1
1,1000014|~|2,1
1,123|~|2,1
1,471|~|2,1
1,1001048|~|2,1
1,1001296|~|2,1
1,124|~|2,1
1,1000499|~|2,1
1,125|~|2,1
1,1000500|~|2,1
1,1001050|~|2,1
1,126|~|2,1
1,1001299|~|2,1
1,552|~|2,1
1,1002425|~|2,1
1,1004765|~|2,1
1,411|~|2,1
1,1000502|~|2,1
1,1001053|~|2,1
1,472|~|2,1
1,1001054|~|2,1
1,473|~|2,1
1,1000504|~|2,1
1,1001055|~|2,1
1,1002564|~|2,1
1,412|~|2,1
1,413|~|2,1
1,414|~|2,1
1,1001305|~|2,1
1,1002196|~|2,1
1,1003072|~|2,1
1,553|~|2,1
1,1002426|~|2,1
1,415|~|2,1
1,474|~|2,1
1,475|~|2,1
